|NSA|,|how many of u are still volunteering? chennairains chennaifloods chennaifloodshelp any updates on medical camps around city on weekend|
|NSA|,|jsb179601: rt kaurrjit: respect and salute to our indian army. jai hind. chennaifloods chennaifloodshelp |
|NSA|,|proud to be with iffco. flood relief work in progress in tamilnadu by iffco. chennaifloodshelp URL |
|NSA|,|chennaifloodshelp :with help pouring in from various sources, chennai still has a long way to go to get back. URL …| 
|NSA|,|chennaifloodshelp want a way to make a better day in someone's life? please help. |
|NSA|,|slap or clap? URL jayafails chennaifloods அதிமுகஊழல்கள் |
|NSA|,|get app - URL … |
|NSA|,|we visit the places that were worst affected in chennaifloods, watch upsouth at 5:30 pm with AT_USER |
|NSA|,|byebyejaya report says that chennaifloods destroyed 2lakhs cars how much did this govt helped to claim those..?. no idea |
|NSA|,|byebyejaya instead of stickers this govt would have given some extra relief materials in chennaifloods |
|NSA|,|relocation of slum-dwellers leads to sharp rise in dropout rate: study URL … chennaifloods |
|NSA|,|AT_USER AT_USER & highrise on ecosensitivearea-mangrovs acr india. that''s y chennaifloods AT_USER deonar AT_USER |
|NSA|,|suganyashulamite |
|NSA|,|AT_USER thanks twitter india during chennaifloods we all communicates n got help via AT_USER chennaimicro|
|NSA|,|five years of aiadmk rule will be a factor, not just 5 days of chennaifloods, said a resident of kotturpuram. on upsouth 530pm|
|NSA|,|AT_USER AT_USER am not a rss man & this is what i was doing in chennaifloods helping. every one did |
|NSA|,|AT_USER AT_USER shiva, did not move wen most things v ownd distroyed in chennaifloods omnamahshivaya |
|NSA|,|indeed charity is not 4 publicity n so these may be selective amnesia to $ickular media during 2015 chennaifloods.. URL| 
|NSA|,|slap or clap? URL jayafails chennaifloods அதிமுகஊழல்கள் |
|NSA|,|get app - URL … |
|NSA|,|we visit the places that were worst affected in chennaifloods, watch upsouth at 5:30 pm with AT_USER |
|NSA|,|byebyejaya report says that chennaifloods destroyed 2lakhs cars how much did this govt helped to claim those..?. no idea |
|NSA|,|byebyejaya instead of stickers this govt would have given some extra relief materials in chennaifloods |
|NSA|,|relocation of slum-dwellers leads to sharp rise in dropout rate: study URL … chennaifloods |
|NSA|,|AT_USER AT_USER & highrise on ecosensitivearea-mangrovs acr india. that''s y |
|NSA|,|AT_USER thanks twitter india during chennaifloods we all communicates n got help via |
|NSA|,|five years of aiadmk rule will be a factor, not just 5 days of chennaifloods, said a resident of kotturpuram. on upsouth 530pm |
|NSA|,|AT_USER AT_USER am not a rss man & this is what i was doing in chennaifloods helping. every one did |
|NSA|,|AT_USER AT_USER shiva, did not move wen most things v ownd distroyed in chennaifloods omnamahshivaya| 
|NSA|,|indeed charity is not 4 publicity n so these may be selective amnesia to $ickular media during 2015 chennaifloods.. URL| 
|NSA|,|lovethespiritofchennai chennaifloodshelp |
|NSA|,|proud to say👇 "•1lakh worth products will be given to chennaifloodshelp today from my town hosur suriya fans AT_USER | 
|NSA|,|AT_USER goosebumps....i am a **vijay**fan. |
|NSA|,|my thoughts and prayers are with everybody suffering in the floods in chennai AT_USER |
|NSA|,|AT_USER thanks! i put your supplies offer on chennaifloodshelp URL mapped |
|NSA|,|most of the slum dwellers complain about lack of relief materials supply to their areas n officials not visiting.chennaifloodshelp |
|NSA|,|my heart breaks as i see the pictures, but i find comfort in seeing how generous people are. chennaifloodshelp |
|NSA|,|if flood waters got into your car… do not attempt to start it. seek expert help. chennaifloodshelp tips cartips |
|NSA|,|enterindia: collect books n open libraries in chennaifloods chennairains affected areas? chennaifloodshelp che… |
|NSA|,|chennaifloodshelp bangaloreforchennai bangalore chennai rt pls AT_USER AT_USER |
|NSA|,|aid india founder dr. balaji sampath's interview. chennaifloodshelp aidindia. URL| 
|NSA|,|chennaifloodshelp ngos and others providing relief to the flood affected: please pause relief & reevaluate if it is time |
|NSA|,|AT_USER how these 5 companies are taking on chennaifloodshelp is commendable. kindly share n spread word. |
|NSA|,|i hope flood water reduce n stop rain by soon with through our prayers.prayforchennai chennai chennaifloodshelp| 
|NSA|,|this is one is quite a useful initiative for chennai floods .. |
|NSA|,|whilst other channels r flashing helpline numbers, kalaignar tv is busy doing hate campaign against govt.|
|NSA|,|AT_USER anyway growup..#chennaifloodshelp.. |
|NSA|,|how to reach vijayawada from chennai right now will that special train to hyderabad reach vijayawada chennaifloodshelp |
|NSA|,|chennaifloodshelp chennaifloods prayforchennai rains started all over again oh give us a break sorry life|
|NSA|,|my uncle is also from 2nd main road .. any update on ags colony 2 nd main road ? chennaifloodshelp chennairain| 
|NSA|,|AT_USER thanks a lot for ur voice for chennaifloodshelp |
|NSA|,|note: international calls to landlines and mobiles in to tamil nadu now free on skype URL chennaifloodshelp via AT_USER| 
|NSA|,|AT_USER AT_USER u guys help us a lot to help chennairains chennaifloods chennaifloodshelp |
|NSA|,|how is perungulathur chengalpattu route to reach madurai. is it advisable to take kid and travel chennaihelp chennaifloodshelp| 
|NSA|,|admk speechless banner chennai floodshelp |
|NSA|,|AT_USER AT_USER cc hope this helps for them. chennaihelp chennaifloodshelp |
|NSA|,|chennai to hyd starting at 4 pm from beach station. check and go.. chennaifloodshelp |
|NSA|,|AT_USER mapped @ URL chennaifloodshelp goodluck |
|NSA|,|salute to indian airforce navy army hand to hand chennaifloodshelp. thoughts and prayers with the people of tamil nadu 
|NSA|,|prayforchennai |
|NSA|,|thank you AT_USER for your gesture chennaifloods chennaifloodshelp chennairainshelp chennairains prayforchennai |
|NSA|,|part of relief amnt to people of chennai shud be given as direct cash credit instead distributing freebies! |
|NSA|,|god is there 👏🙏 kudos to all the volunteers - yestrrday stuck at central station for 6 hours - food from volunteers |
|NSA|,|AT_USER can you pls help them ? chennairains chennaifloodshelp chennaimicro |
|NSA|,|god bless to those who has volunteered themselves for chennaifloodshelp. |
|NSA|,|this is how social responsibility taken care by corporates : chennaifloodshelp| 
|NSA|,|chennaifloods chennairains chennaifloodshelp AT_USER have done this type of social service many times... URL| 
